NoiseType,MMSE,SignalPower
multi_tone,0.3,0.148
impulse_spikes,0.0,0.462
white,0.0,0.4630000000000001
pink,0.0,0.518
brown,0.0,0.48500000000000004
multi_tone,0.0,0.519
impulse_spikes,0.2,0.318
white,0.0,0.48900000000000005
pink,0.0,0.4880000000000001
brown,0.0,0.48500000000000004
multi_tone,0.0,0.5010000000000001
impulse_spikes,0.0,0.4670000000000001
white,0.0,0.5000000000000001
pink,0.0,0.457
brown,0.0,0.499
multi_tone,0.0,0.45100000000000007
impulse_spikes,0.0,0.41100000000000003
white,0.1,0.4640000000000001
pink,0.2,0.35400000000000004
brown,0.0,0.4840000000000001
multi_tone,0.0,0.497
impulse_spikes,0.0,0.485
white,0.0,0.503
pink,0.0,0.503
brown,0.1,0.41000000000000003
multi_tone,0.0,0.466
impulse_spikes,0.1,0.471
white,0.0,0.5080000000000001
pink,0.2,0.326
brown,0.0,0.5010000000000001
multi_tone,0.0,0.5
impulse_spikes,0.0,0.5
white,0.0,0.49700000000000016
pink,0.0,0.5030000000000001
brown,0.1,0.43900000000000006
multi_tone,0.0,0.529
impulse_spikes,0.0,0.521
white,0.0,0.475
pink,0.0,0.5210000000000001
brown,0.0,0.4760000000000001
multi_tone,0.0,0.4880000000000001
impulse_spikes,0.0,0.47800000000000004
white,0.0,0.4960000000000001
pink,0.0,0.49700000000000005
brown,0.0,0.54
multi_tone,0.0,0.519
impulse_spikes,0.1,0.42400000000000004
white,0.0,0.46799999999999997
pink,0.0,0.4800000000000001
brown,0.5,0.013000000000000001
multi_tone,0.0,0.5210000000000001
impulse_spikes,0.0,0.49000000000000005
white,0.0,0.5050000000000001
pink,0.0,0.503
brown,0.0,0.40099999999999997
multi_tone,0.0,0.4720000000000001
impulse_spikes,0.1,0.44499999999999995
white,0.0,0.514
pink,0.0,0.5070000000000001
brown,0.0,0.479
multi_tone,0.0,0.44200000000000006
impulse_spikes,0.0,0.4960000000000001
white,0.0,0.5000000000000001
pink,0.1,0.352
brown,0.0,0.526
multi_tone,0.0,0.5130000000000001
